Since Beginning Seconds,Epsiode,Mean Cumulative Episodic Reward,Mean Accuracy
146.889855,1,0.080077334,0.005338542
226.607381,2,0.048827642,0.003255208
369.66155,3,0.05468696,0.003645833
450.29733,4,0.062499382,0.004166667
593.451331,5,0.58593171,0.0390625
790.535913,6,0.18163883,0.012109375
943.373896,7,0.232419578,0.015494792
1147.401374,8,0.175779513,0.01171875
1181.4241,9,0.166013984,0.011067708
1265.588803,10,0.3769494,0.025130208
1415.445325,11,0.36327766,0.02421875
1502.14714,12,0.416011514,0.027734375
1659.63821,13,0.310543806,0.020703125
1873.521896,14,0.3085907,0.020572917
1910.411528,15,0.212888521,0.014192708
1999.364825,16,0.207029204,0.013802083
2171.951369,17,0.234372684,0.015625
2266.470814,18,0.187498147,0.0125
2307.375884,19,0.197263676,0.013151042
2406.658146,20,0.171873301,0.011458333
2447.485604,21,0.171873301,0.011458333
2542.416352,22,0.14062361,0.009375
2721.312984,23,0.146482927,0.009765625
2960.152477,24,0.166013984,0.011067708
3006.961674,25,0.156248456,0.010416667
3248.112773,26,0.179685724,0.011979167
3429.034891,27,0.171873301,0.011458333
3670.571147,28,0.173826407,0.011588542
3723.269542,29,0.205076098,0.013671875
3822.80422,30,0.214841627,0.014322917
4019.868432,31,0.259763058,0.017317708
4119.827082,32,0.285153432,0.019010417
4317.837236,33,0.240232001,0.016015625
4563.32425,34,0.242185107,0.016145833
4762.890914,35,0.271481692,0.018098958
5023.961657,36,0.20898231,0.013932292
5231.339065,37,0.197263676,0.013151042
5493.488303,38,0.177732619,0.011848958
5710.603949,39,0.191404358,0.012760417
5976.74439,40,0.203122993,0.013541667
6189.865658,41,0.253903741,0.016927083
6453.302313,42,0.205076098,0.013671875
6666.987791,43,0.275387904,0.018359375
6940.323734,44,0.271481692,0.018098958
7165.798475,45,0.310543806,0.020703125
7453.231817,46,0.29491896,0.019661458
7695.889668,47,0.345699709,0.023046875
7978.289613,48,0.320309335,0.021354167
8209.56473,49,0.365230766,0.024348958
8492.374937,50,0.34960592,0.023307292
8553.843412,51,0.380855611,0.025390625
8841.930723,52,0.333981074,0.022265625
9083.054908,53,0.386714928,0.02578125
9204.046826,54,0.378902506,0.025260417
9451.654683,55,0.357418343,0.023828125
9741.681991,56,0.425777042,0.028385417
9993.976105,57,0.386714928,0.02578125
10123.11257,58,0.373043188,0.024869792
10370.57007,59,0.408199091,0.027213542
10675.54534,60,0.373043188,0.024869792
10756.18287,61,0.480464002,0.03203125
11061.88859,62,0.410152197,0.02734375
11331.43989,63,0.482417108,0.032161458
11650.645,64,0.455073628,0.030338542
11723.13104,65,0.515619904,0.034375
12039.15937,66,0.458979778,0.030598958
12111.40897,67,0.464839156,0.030989583
12426.43155,68,0.474604685,0.031640625
12499.7013,69,0.509760587,0.033984375
12621.35789,70,0.492182636,0.0328125
12691.90349,71,0.564447547,0.037630208
12812.56643,72,0.511713693,0.034114583
12886.05917,73,0.539057173,0.0359375
13009.47158,74,0.539057173,0.0359375
13082.61775,75,0.541010279,0.036067708
13203.98743,76,0.501948165,0.033463542
13457.09421,77,0.451167416,0.030078125
13579.3502,78,0.412105302,0.027473958
13653.21329,79,0.453120522,0.030208333
13778.74983,80,0.429683254,0.028645833
13854.57029,81,0.431636359,0.028776042
13987.95409,82,0.408199091,0.027213542
14064.17996,83,0.480464002,0.03203125
14378.72303,84,0.445308099,0.0296875
14454.59408,85,0.519526116,0.034635417
14579.42993,86,0.429683254,0.028645833
14887.85605,87,0.486323319,0.032421875
15017.00369,88,0.488276425,0.032552083
15099.79822,89,0.47655779,0.031770833
15230.80677,90,0.478510896,0.031901042
15312.76723,91,0.433589465,0.02890625
15457.15017,92,0.400386668,0.026692708
15733.6457,93,0.437495676,0.029166667
16080.42875,94,0.355465237,0.023697917
16162.55646,95,0.351559026,0.0234375
16292.73599,96,0.283200326,0.018880208
16372.23589,97,0.310543806,0.020703125
16716.78024,98,0.263669269,0.017578125
16797.72451,99,0.214841627,0.014322917
16929.22127,100,0.179685724,0.011979167
