Since Beginning Seconds,Epsiode,Mean Cumulative Episodic Reward,Mean Accuracy
20610.95814,1,0.105470363,0.007145182
21113.53285,2,0.176244919,0.011805556
21274.82494,3,0.210939872,0.014290365
21369.09177,4,0.175685282,0.01171875
21743.02623,5,0.167875635,0.011197917
21826.78433,6,0.13664167,0.009114583
21967.70016,7,0.212773061,0.014192708
22269.97075,8,0.181541806,0.012109375
22308.96394,9,0.197156849,0.013151042
22630.24291,10,0.177638153,0.011848958
22676.99165,11,0.173733841,0.011588542
23119.39331,12,0.197157972,0.013151042
23179.92941,13,0.232294261,0.015494792
23293.90628,14,0.234246118,0.015625
23685.98336,15,0.327946316,0.021875
23903.53935,16,0.310377776,0.020703125
23985.00782,17,0.328922017,0.021940104
24267.56714,18,0.379061232,0.025359988
24317.75779,19,0.365036738,0.024348958
24420.00138,20,0.331848798,0.022135417
24463.98363,21,0.413837146,0.027604167
24566.59006,22,0.288904503,0.019270833
24623.70022,23,0.349419724,0.023307292
24739.08566,24,0.290852327,0.019401042
25138.33719,25,0.283051646,0.018880208
25230.95146,26,0.232295905,0.015494792
25432.41829,27,0.199109298,0.01328125
25816.71687,28,0.150308782,0.010026042
26220.04149,29,0.122980261,0.008203125
26385.84289,30,0.111267303,0.007421875
26471.7499,31,0.132735655,0.008854167
26796.00257,32,0.081984939,0.00546875
26862.02085,33,0.214806126,0.014436849
26984.69218,34,0.134742168,0.009098307
27060.15857,35,0.339639181,0.02265625
27188.79234,36,0.255756308,0.017171224
27446.95865,37,0.419744852,0.028004557
27742.3311,38,0.306723892,0.020656212
27805.85624,39,0.378673692,0.025260417
27922.38504,40,0.298651982,0.019921875
28181.45056,41,0.355256578,0.023697917
28547.44643,42,0.292796555,0.01953125
28618.15374,43,0.24985555,0.016666667
28733.03922,44,0.226434969,0.015104167
28802.46605,45,0.234240595,0.015625
29094.77493,46,0.228389792,0.015234375
29170.93927,47,0.236193481,0.015755208
29296.80836,48,0.269378097,0.01796875
29372.10887,49,0.265470607,0.017708333
29493.46778,50,0.212768563,0.014192708
29566.95625,51,0.269374055,0.01796875
29690.17056,52,0.255711371,0.017057292
29761.12332,53,0.294749192,0.019661458
29881.91624,54,0.218624666,0.014583333
30185.18772,55,0.269481759,0.018196615
30345.75073,56,0.218625165,0.014583333
30613.19849,57,0.277237797,0.018603516
30733.76704,58,0.22253115,0.01484375
31000.3636,59,0.242524209,0.016232639
31146.04775,60,0.269380843,0.01796875
31274.06416,61,0.265471398,0.017708333
31449.51683,62,0.245952024,0.01640625
31527.61224,63,0.28303745,0.018880208
31835.56019,64,0.238146631,0.015885417
32125.80503,65,0.26351752,0.017578125
32271.0014,66,0.204961397,0.013671875
32358.39482,67,0.26156201,0.017447917
32493.43186,68,0.18934655,0.012630208
32589.38627,69,0.273345528,0.018343099
33001.04969,70,0.175677043,0.01171875
33358.89914,71,0.208861894,0.013932292
33772.79073,72,0.201052014,0.013411458
33912.55737,73,0.195197973,0.013020833
34096.79615,74,0.179581414,0.011979167
34450.18774,75,0.224478839,0.014973958
34847.5307,76,0.197151754,0.013151042
34951.77049,77,0.253752663,0.016927083
35364.14604,78,0.243996974,0.016276042
35521.43172,79,0.283034651,0.018880208
35705.8052,80,0.269370621,0.01796875
36073.21263,81,0.341594226,0.022786458
36257.649,82,0.322077358,0.021484375
36367.48861,83,0.413821336,0.027604167
36802.88435,84,0.355264896,0.023697917
36900.55939,85,0.374780205,0.025
37291.34377,86,0.386494119,0.02578125
37625.86772,87,0.447003364,0.029817708
37786.53144,88,0.363071701,0.02421875
38233.51657,89,0.433341467,0.02890625
38434.06131,90,0.415778147,0.027734375
38521.81813,91,0.435320912,0.029150391
38660.46344,92,0.355264232,0.023697917
38755.91265,93,0.482141243,0.032161458
39190.32099,94,0.368927165,0.024609375
39610.77864,95,0.460674055,0.030729167
40064.87395,96,0.388446201,0.025911458
40494.45225,97,0.484092298,0.032291667
40643.40729,98,0.366979244,0.024479167
40778.16082,99,0.45481295,0.030338542
40963.2287,100,0.386618532,0.025895182
