Since Beginning Seconds,Epsiode,Mean Cumulative Episodic Reward,Mean Accuracy
169.028829,1,0.652337303,0.043489583
380.499084,2,0.720696003,0.048046875
543.151098,3,0.789054702,0.052604167
765.112545,4,0.880850605,0.058723958
931.328467,5,0.738273954,0.04921875
1156.459004,6,0.656243515,0.04375
1327.756026,7,0.67186836,0.044791667
1547.676688,8,0.644524881,0.04296875
1723.190716,9,0.607415872,0.040494792
1950.525933,10,0.613275189,0.040885417
2123.579528,11,0.624993824,0.041666667
2350.611238,12,0.601556555,0.040104167
2525.558994,13,0.607415872,0.040494792
2750.592214,14,0.580072392,0.038671875
2930.838089,15,0.580072392,0.038671875
3166.894997,16,0.548822701,0.036588542
3348.200251,17,0.601556555,0.040104167
3445.904883,18,0.587884815,0.039192708
3495.106779,19,0.638665563,0.042578125
3740.052477,20,0.613275189,0.040885417
3933.026819,21,0.624993824,0.041666667
4181.528724,22,0.601556555,0.040104167
4387.960126,23,0.605462767,0.040364583
4648.264113,24,0.646477986,0.043098958
4853.769969,25,0.636712458,0.042447917
5109.671164,26,0.697258734,0.046484375
5317.087468,27,0.714836686,0.04765625
5582.744426,28,0.765617434,0.051041667
5799.480333,29,0.800773336,0.053385417
6064.869397,30,0.746086377,0.049739583
6283.868868,31,0.714836686,0.04765625
6388.463376,32,0.714836686,0.04765625
6443.39643,33,0.705071157,0.047005208
6716.728095,34,0.701164946,0.046744792
6943.336022,35,0.705071157,0.047005208
7232.877431,36,0.642571775,0.042838542
7476.392672,37,0.722649108,0.048177083
7769.810961,38,0.677727677,0.045182292
8015.366075,39,0.666009043,0.044401042
8311.120973,40,0.705071157,0.047005208
8556.397101,41,0.779289174,0.051953125
8858.723704,42,0.707024263,0.047135417
9105.17236,43,0.783195385,0.052213542
9222.737722,44,0.777336068,0.051822917
9473.163794,45,0.775382962,0.051692708
9777.149848,46,0.796867125,0.053125
9847.945789,47,0.789054702,0.052604167
10160.23518,48,0.751945694,0.050130208
10423.2262,49,0.7538988,0.050260417
10743.08827,50,0.736320848,0.049088542
11012.92186,51,0.716789791,0.047786458
11136.92782,52,0.697258734,0.046484375
11411.0404,53,0.6855401,0.045703125
11733.84302,54,0.716789791,0.047786458
12019.39141,55,0.72655532,0.0484375
12148.42713,56,0.710930474,0.047395833
12442.09591,57,0.720696003,0.048046875
12785.75561,58,0.757805011,0.050520833
12870.20196,59,0.765617434,0.051041667
13224.30542,60,0.74022706,0.049348958
13534.46446,61,0.738273891,0.04921875
13898.08722,62,0.707024263,0.047135417
14209.68487,63,0.695305629,0.046354167
14578.81142,64,0.7538988,0.050260417
14666.37802,65,0.759758117,0.050651042
14804.14548,66,0.738273954,0.04921875
15115.11197,67,0.757805011,0.050520833
15484.97523,68,0.755851905,0.050390625
15808.35068,69,0.80272638,0.053515625
16186.12726,70,0.787101597,0.052473958
16503.27308,71,0.769523645,0.051302083
16865.34889,72,0.775382962,0.051692708
16958.24889,73,0.748039483,0.049869792
17329.90639,74,0.757805011,0.050520833
17656.28514,75,0.748039483,0.049869792
17804.57718,76,0.751945694,0.050130208
18127.63864,77,0.783195256,0.052213542
18267.90768,78,0.736320848,0.049088542
18592.7626,79,0.771476751,0.051432292
18959.16824,80,0.755851905,0.050390625
19293.49146,81,0.705071157,0.047005208
19448.19539,82,0.749992588,0.05
19784.12638,83,0.701164946,0.046744792
20170.51182,84,0.718742897,0.047916667
20523.68495,85,0.669915255,0.044661458
20916.38261,86,0.72655532,0.0484375
21257.83353,87,0.716789791,0.047786458
21659.02023,88,0.722649108,0.048177083
22020.47532,89,0.742180165,0.049479167
22439.71521,90,0.732414637,0.048828125
22809.90617,91,0.72655532,0.0484375
23227.57247,92,0.722649108,0.048177083
23596.02847,93,0.736320848,0.049088542
24014.58644,94,0.769523645,0.051302083
24120.46852,95,0.751945694,0.050130208
24542.47569,96,0.736320848,0.049088542
24649.02737,97,0.738273954,0.04921875
24805.20637,98,0.724602214,0.048307292
24913.67098,99,0.6855401,0.045703125
25331.3707,100,0.705071157,0.047005208
