Since Beginning Seconds,Epsiode,Mean Cumulative Episodic Reward,Mean Accuracy
84.899257,1,0.822257499,0.054817708
165.714648,2,0.810538865,0.054036458
246.319235,3,0.800773336,0.053385417
327.942528,4,0.822257499,0.054817708
408.270616,5,0.822257499,0.054817708
486.294146,6,0.816398182,0.054427083
563.421414,7,0.779289174,0.051953125
642.040969,8,0.804679548,0.053645833
721.6709,9,0.818351288,0.054557292
804.670556,10,0.816398182,0.054427083
887.492494,11,0.796867125,0.053125
971.684071,12,0.830069857,0.055338542
1057.15873,13,0.822257499,0.054817708
1145.049648,14,0.824210605,0.054947917
1233.788047,15,0.830069922,0.055338542
1324.380066,16,0.812491971,0.054166667
1418.193615,17,0.837882345,0.055859375
1514.287491,18,0.806632654,0.053776042
1614.290803,19,0.794914019,0.052994792
1714.696024,20,0.787101597,0.052473958
1819.785449,21,0.808585759,0.05390625
1926.798236,22,0.833976133,0.055598958
2036.607637,23,0.806632654,0.053776042
2148.040607,24,0.808585759,0.05390625
2261.191089,25,0.789054702,0.052604167
2376.974634,26,0.824210605,0.054947917
2495.324753,27,0.806632654,0.053776042
2616.385369,28,0.804679548,0.053645833
2739.064679,29,0.833976133,0.055598958
2864.313361,30,0.824210605,0.054947917
2991.895275,31,0.785148491,0.05234375
3120.448815,32,0.781242279,0.052083333
3253.970383,33,0.794914019,0.052994792
3388.849347,34,0.820304393,0.0546875
3526.070915,35,0.835929239,0.055729167
3667.413457,36,0.824210605,0.054947917
3810.46406,37,0.810538865,0.054036458
3954.7031,38,0.826163711,0.055078125
4004.983574,39,0.847647811,0.056510417
4154.430484,40,0.802726442,0.053515625
4305.708304,41,0.824210605,0.054947917
4459.556327,42,0.787101597,0.052473958
4615.822274,43,0.820304393,0.0546875
4773.483219,44,0.816398182,0.054427083
4833.335113,45,0.818351288,0.054557292
4993.165772,46,0.779289174,0.051953125
5150.000072,47,0.804679548,0.053645833
5317.685494,48,0.812491971,0.054166667
5486.271434,49,0.826163711,0.055078125
5658.384159,50,0.810538865,0.054036458
5832.53005,51,0.822257499,0.054817708
6008.581858,52,0.830069858,0.055338542
6069.526802,53,0.808585759,0.05390625
6259.328002,54,0.818351288,0.054557292
6451.577178,55,0.798820231,0.053255208
6647.285997,56,0.785148491,0.05234375
6845.54461,57,0.861319613,0.057421875
6918.334708,58,0.781242279,0.052083333
7119.031645,59,0.828116816,0.055208333
7323.62784,60,0.804679548,0.053645833
7529.92316,61,0.773429857,0.0515625
7737.993598,62,0.818351288,0.054557292
7950.051961,63,0.816398182,0.054427083
8163.451652,64,0.810538865,0.054036458
8379.487944,65,0.818351288,0.054557292
8455.461201,66,0.837882345,0.055859375
8674.760516,67,0.810538865,0.054036458
8898.46363,68,0.835929239,0.055729167
9122.036303,69,0.791007808,0.052734375
9348.437763,70,0.792960914,0.052864583
9576.906855,71,0.804679548,0.053645833
9808.279825,72,0.822257499,0.054817708
10042.25366,73,0.779289174,0.051953125
10279.88741,74,0.818351288,0.054557292
10518.65252,75,0.822257499,0.054817708
10759.61451,76,0.845694767,0.056380208
11004.39075,77,0.822257433,0.054817708
11251.0093,78,0.833976133,0.055598958
11499.20215,79,0.810538865,0.054036458
11750.1208,80,0.818351288,0.054557292
12003.64679,81,0.828116816,0.055208333
12263.43911,82,0.804679548,0.053645833
12523.34808,83,0.806632654,0.053776042
12784.00149,84,0.794914019,0.052994792
12872.42112,85,0.810538865,0.054036458
13135.79731,86,0.814445076,0.054296875
13401.39556,87,0.810538865,0.054036458
13489.11213,88,0.804679548,0.053645833
13757.42132,89,0.830069922,0.055338542
14029.38405,90,0.781242279,0.052083333
14306.65268,91,0.847647873,0.056510417
14396.93362,92,0.816398182,0.054427083
14674.70836,93,0.804679548,0.053645833
14950.96445,94,0.804679548,0.053645833
15233.15858,95,0.855460296,0.05703125
15518.14719,96,0.800773336,0.053385417
15806.38629,97,0.773429857,0.0515625
16096.31317,98,0.830069922,0.055338542
16388.75205,99,0.812491971,0.054166667
16684.57368,100,0.828116816,0.055208333
