Since Beginning Seconds,Epsiode,Mean Cumulative Episodic Reward,Mean Accuracy
148.656204,1,0.558367705,0.038143885
251.663792,2,0.570513676,0.039150134
346.883509,3,0.579202285,0.039022472
442.800463,4,0.616891226,0.042155086
539.655367,5,0.589146247,0.040631952
639.87599,6,0.587878581,0.040100095
744.653891,7,0.622136611,0.04248595
854.818298,8,0.603568711,0.040756758
888.158357,9,0.557928117,0.038172697
975.949345,10,0.610927287,0.041945274
1075.308268,11,0.606550388,0.041332618
1174.828123,12,0.558823711,0.038250042
1275.645842,13,0.578625512,0.039423739
1379.202286,14,0.564983406,0.038145979
1481.34807,15,0.576707724,0.03882381
1585.747639,16,0.598595243,0.040650758
1621.106316,17,0.590775978,0.040263806
1726.430892,18,0.574205525,0.038591837
1835.544462,19,0.588743692,0.040283158
1872.832298,20,0.564409529,0.038415288
1983.771885,21,0.607700065,0.041598052
2100.008216,22,0.598406605,0.040615812
2216.011674,23,0.586487522,0.039908716
2256.215699,24,0.582302012,0.039536284
2376.13167,25,0.568866206,0.038865054
2575.845725,26,0.632033784,0.042896202
2701.463255,27,0.60401307,0.041343815
2829.99013,28,0.581798792,0.039807551
2871.794769,29,0.563218441,0.038945465
2915.527087,30,0.595956568,0.040726486
2993.317784,31,0.56684035,0.038541621
3079.086432,32,0.601529564,0.040863099
3214.296875,33,0.596872789,0.040319771
3352.206582,34,0.578283804,0.03931155
3490.956023,35,0.571582831,0.039298472
3632.52659,36,0.601482327,0.041726984
3679.327742,37,0.575555577,0.039808828
3824.992727,38,0.574258518,0.038947407
3973.549896,39,0.555329771,0.037635634
4022.536903,40,0.569600368,0.038975762
4071.605875,41,0.534630464,0.036746196
4158.335146,42,0.553075034,0.037471142
4271.410896,43,0.515876286,0.035174876
4424.959108,44,0.589029502,0.040146072
4582.634311,45,0.552752,0.037651864
4741.936637,46,0.561773248,0.037831524
4839.765639,47,0.605118947,0.041387878
4958.1586,48,0.527690298,0.035909287
5121.402249,49,0.628612334,0.042494704
5177.187196,50,0.593741594,0.040195705
5346.584254,51,0.54462687,0.037347838
5473.748324,52,0.539553314,0.036763598
5643.368325,53,0.585587392,0.039398562
5794.147167,54,0.557236312,0.037723076
5853.660143,55,0.550500192,0.037642928
5912.505968,56,0.614726066,0.042153858
5996.560819,57,0.574309802,0.038922785
6175.98771,58,0.592427693,0.040608483
6358.852679,59,0.591954575,0.040228742
6419.917509,60,0.576950593,0.039750696
6608.091528,61,0.595706594,0.04023541
6804.548581,62,0.565511984,0.038820531
6871.006314,63,0.581291584,0.039502894
7020.275141,64,0.529967047,0.036621468
7143.235278,65,0.600030695,0.041160579
7284.783403,66,0.572320036,0.039306389
7390.287732,67,0.559191578,0.037982558
7572.698384,68,0.58530377,0.039523912
7769.99357,69,0.626855045,0.042809754
7909.168543,70,0.580759081,0.039041329
8121.704338,71,0.554723625,0.037604841
8280.923668,72,0.581949678,0.040050167
8499.382339,73,0.557350968,0.037615276
8719.143001,74,0.607739484,0.041131771
8942.533116,75,0.610077723,0.041213057
9167.545305,76,0.6153132,0.042215459
9394.004876,77,0.608212725,0.041988815
9624.994667,78,0.565662621,0.037885608
9857.258403,79,0.630203032,0.043076753
10092.58642,80,0.549505754,0.037463366
10331.83576,81,0.571654881,0.038758442
10412.22301,82,0.563528744,0.038100253
10491.41975,83,0.577151585,0.039244543
10733.65813,84,0.598898603,0.040667829
10976.77128,85,0.595716918,0.041174693
11059.40354,86,0.563892569,0.038814597
11304.92974,87,0.587326815,0.040034391
11387.87304,88,0.580885807,0.039784138
11636.43903,89,0.579675527,0.039244464
11786.76802,90,0.588319951,0.040268731
11869.92339,91,0.620471535,0.041748083
11954.10236,92,0.61797028,0.0418729
12209.01943,93,0.562169294,0.038287883
12468.68627,94,0.595085371,0.040291683
12554.0436,95,0.585630664,0.039865446
12817.33937,96,0.547841599,0.037189567
13081.20402,97,0.608938823,0.041447919
13348.07464,98,0.57393852,0.038737369
13615.90737,99,0.603187728,0.04068249
13886.44205,100,0.582649605,0.039994454
