Since Beginning Seconds,Epsiode,Mean Cumulative Episodic Reward,Mean Accuracy
38.54757,1,0,0
125.44357,2,0,0
157.124789,3,0,0
239.867629,4,0,0
395.860049,5,0.634759352,0.042317708
599.020993,6,0.263669269,0.017578125
757.800465,7,0.056640065,0.003776042
847.347222,8,0.080077334,0.005338542
881.10401,9,0.384761823,0.025651042
969.265601,10,0.234372684,0.015625
1126.343572,11,0.072264911,0.004817708
1214.7429,12,0.082030439,0.00546875
1253.467965,13,0.177732619,0.011848958
1468.058988,14,0.056640065,0.003776042
1504.315448,15,0.158201562,0.010546875
1592.836608,16,0.095702179,0.006380208
1630.044627,17,0.238278895,0.015885417
1840.834752,18,0.105467708,0.00703125
1879.714331,19,0.095702179,0.006380208
1966.661868,20,0.085936651,0.005729167
2006.434091,21,0.128904976,0.00859375
2214.960455,22,0.070311805,0.0046875
2380.001953,23,0.035155903,0.00234375
2480.574173,24,0.064452488,0.004296875
2521.782744,25,0.097655285,0.006510417
2746.32872,26,0.107420813,0.007161458
2785.982682,27,0.099608391,0.006640625
2875.919073,28,0.091795968,0.006119792
2918.494463,29,0.107420813,0.007161458
3012.374936,30,0.103514602,0.006901042
3056.361414,31,0.134764293,0.008984375
3289.49091,32,0.113280131,0.007552083
3331.813679,33,0.136717399,0.009114583
3425.838937,34,0.105467708,0.00703125
3468.462895,35,0.214841627,0.014322917
3562.944402,36,0.197263676,0.013151042
3606.217325,37,0.289059643,0.019270833
3700.127565,38,0.246091318,0.01640625
3743.967264,39,0.275387904,0.018359375
3839.15845,40,0.226560261,0.015104167
3883.295531,41,0.164060879,0.0109375
3977.827325,42,0.134764293,0.008984375
4165.080954,43,0.083983545,0.005598958
4263.859193,44,0.085936651,0.005729167
4311.326474,45,0.148436033,0.009895833
4559.729925,46,0.087889756,0.005859375
4614.124072,47,0.121092553,0.008072917
4718.330612,48,0.134764293,0.008984375
4918.806816,49,0.138670505,0.009244792
5176.36286,50,0.166013984,0.011067708
5385.647438,51,0.187498147,0.0125
5642.593845,52,0.197263676,0.013151042
5857.294245,53,0.232419578,0.015494792
6137.727538,54,0.187498147,0.0125
6191.841999,55,0.232419578,0.015494792
6294.947707,56,0.175779513,0.01171875
6499.654604,57,0.320309335,0.021354167
6604.540591,58,0.253903741,0.016927083
6842.885501,59,0.374996294,0.025
7107.693574,60,0.320309335,0.021354167
7162.13116,61,0.414058408,0.027604167
7268.907241,62,0.371090083,0.024739583
7499.950085,63,0.416011514,0.027734375
7605.246376,64,0.320309335,0.021354167
7664.722879,65,0.347652814,0.023177083
7775.627903,66,0.244138212,0.016276042
8004.568987,67,0.328121757,0.021875
8279.736477,68,0.158201562,0.010546875
8507.489152,69,0.255856847,0.017057292
8787.356082,70,0.117186342,0.0078125
9029.396997,71,0.283200326,0.018880208
9138.961017,72,0.093749074,0.00625
9384.75386,73,0.296872066,0.019791667
9495.221775,74,0.097655285,0.006510417
9556.041967,75,0.249997529,0.016666667
9667.495642,76,0.119139448,0.007942708
9728.19193,77,0.292965855,0.01953125
9841.004304,78,0.152342244,0.01015625
9902.163156,79,0.291012749,0.019401042
10013.68815,80,0.220700944,0.014713542
10074.5501,81,0.347652814,0.023177083
10186.48365,82,0.214841627,0.014322917
10248.34123,83,0.36327766,0.02421875
10361.71355,84,0.193357464,0.012890625
10423.93795,85,0.332027969,0.022135417
10536.99668,86,0.160154667,0.010677083
10599.69945,87,0.373043188,0.024869792
10714.30697,88,0.105467708,0.00703125
10777.30528,89,0.296872066,0.019791667
10890.24812,90,0.119139448,0.007942708
10953.51185,91,0.249997529,0.016666667
11068.47664,92,0.076171122,0.005078125
11132.29126,93,0.185545041,0.012369792
11247.00518,94,0.066405594,0.004427083
11312.92243,95,0.111327025,0.007421875
11428.23264,96,0.046874537,0.003125
11495.64053,97,0.070311805,0.0046875
11614.20932,98,0.044921431,0.002994792
11682.24265,99,0.058593171,0.00390625
11996.10193,100,0.029296585,0.001953125
