Since Beginning Seconds,Epsiode,Mean Cumulative Episodic Reward,Mean Accuracy
390.153322,1,0.027327186,0.001822917
756.165976,2,0.02147268,0.001432292
955.239747,3,0.410746041,0.028114149
1066.522942,4,0.201067647,0.013411458
1333.693616,5,0.43925802,0.030449283
1433.195,6,0.417164885,0.028009588
1513.406016,7,0.396396505,0.02734179
1760.678709,8,0.378714113,0.025488281
1926.663195,9,0.352533258,0.024065245
2167.895076,10,0.302912787,0.020395795
2220.096632,11,0.511338668,0.035036847
2415.448965,12,0.353337788,0.023681641
2451.801687,13,0.453636086,0.030991498
2537.895767,14,0.293617942,0.019596354
2573.999862,15,0.294000124,0.019700986
2660.900527,16,0.162030618,0.010921224
2697.942219,17,0.078085044,0.005208333
2785.532274,18,0.081989868,0.00546875
2823.629015,19,0.011712849,0.00078125
2921.156386,20,0.013665204,0.000911458
3120.159288,21,0.013664975,0.000911458
3393.925055,22,0.026371114,0.001748512
3453.79459,23,0.101511123,0.006770833
3765.377261,24,0.093702551,0.00625
3849.855592,25,0.204111317,0.01359747
4135.954075,26,0.206238913,0.014292279
4439.664412,27,0.241797413,0.016468331
4582.447199,28,0.25187298,0.01702474
4646.720758,29,0.274278717,0.018848714
4776.175359,30,0.250512314,0.016966976
4950.869955,31,0.298148674,0.02006688
5134.615818,32,0.23045045,0.015592448
5339.322777,33,0.317711877,0.021824005
5412.401501,34,0.219423697,0.015000514
5536.731671,35,0.312579481,0.021476663
5612.828018,36,0.222695437,0.015185547
5796.402302,37,0.261144412,0.017585445
5919.43593,38,0.206996591,0.014029948
5993.442267,39,0.262645529,0.01762483
6304.704858,40,0.183577381,0.012695312
6551.273389,41,0.179934835,0.01219267
6884.34719,42,0.169834712,0.011328125
6961.093798,43,0.158317977,0.010660807
7115.032158,44,0.15237468,0.010270182
7386.382625,45,0.167884771,0.011197917
7704.684696,46,0.152351329,0.010270182
7780.346291,47,0.193278053,0.013004557
7910.07381,48,0.181719109,0.01233724
8342.942071,49,0.265303097,0.017838142
8641.258413,50,0.267525261,0.017952474
8981.34236,51,0.3133934,0.021482324
9278.760399,52,0.304532428,0.0203125
9403.070408,53,0.386918143,0.02670942
9569.830797,54,0.366169977,0.024632626
9645.172434,55,0.366636985,0.025054573
9773.282295,56,0.3800731,0.025307765
9855.913032,57,0.440237581,0.029950912
9987.891375,58,0.349851897,0.023497954
10071.0337,59,0.443957399,0.029973448
10203.96191,60,0.331171441,0.022497319
10287.77114,61,0.456892749,0.030891356
10420.55459,62,0.356458378,0.024090456
10504.54225,63,0.425536295,0.028934198
10638.1897,64,0.30323161,0.021079389
10723.6768,65,0.36209295,0.024495443
10857.86892,66,0.265739608,0.01805013
10942.92822,67,0.282972418,0.019229345
11076.97527,68,0.226875984,0.015427362
11162.48384,69,0.184902059,0.012504283
11299.01924,70,0.144828926,0.009977214
11394.11861,71,0.114884214,0.008030007
11535.63288,72,0.091757269,0.006233724
11620.17299,73,0.052708453,0.003515625
11755.28574,74,0.042086938,0.002997117
11841.82607,75,0.021473555,0.001432292
11979.68731,76,0.015616288,0.001041667
12067.20289,77,0.013664911,0.000911458
12203.89914,78,0.011712592,0.00078125
12291.50145,79,0.023725829,0.001662071
12429.74815,80,0.025378721,0.001692708
12518.46566,81,0.03123381,0.002083333
12656.07097,82,0.013664928,0.000911458
12744.58042,83,0.021473425,0.001432292
12882.35226,84,0.017569153,0.001171875
12971.53922,85,0.01366453,0.000911458
13111.3596,86,0.015617045,0.001041667
13430.64301,87,0.013665065,0.000911458
13570.50728,88,0.009760268,0.000651042
13659.94678,89,0.011712764,0.00078125
13798.46276,90,0.017569139,0.001171875
13889.41768,91,0.007808502,0.000520833
14029.30023,92,0.011712836,0.00078125
14120.63741,93,0.011712433,0.00078125
14260.87023,94,0.011712775,0.00078125
14353.59654,95,0.01756916,0.001171875
14502.64128,96,0.017569243,0.001171875
14612.13403,97,0.021473884,0.001432292
14773.09512,98,0.025377705,0.001692708
14871.08088,99,0.02147385,0.001432292
15021.55311,100,0.03904311,0.002604167
