Since Beginning Seconds,Epsiode,Mean Cumulative Episodic Reward,Mean Accuracy
165.569419,1,0.675774572,0.045052083
371.724865,2,0.787101597,0.052473958
529.726778,3,0.664055938,0.044270833
737.317206,4,0.621087612,0.04140625
896.702826,5,0.576166181,0.038411458
1112.363551,6,0.539057173,0.0359375
1273.200968,7,0.69921184,0.046614583
1492.77472,8,0.654290409,0.043619792
1670.992146,9,0.636712458,0.042447917
1902.267836,10,0.693352523,0.046223958
2080.245685,11,0.789054702,0.052604167
2313.082789,12,0.832023028,0.05546875
2498.573328,13,0.871085142,0.058072917
2745.921573,14,0.832023028,0.05546875
2941.308575,15,0.85350719,0.056901042
3182.445737,16,0.886709987,0.059114583
3380.377704,17,0.896475516,0.059765625
3631.065251,18,0.855460296,0.05703125
3832.298164,19,0.859366507,0.057291667
4091.260079,20,0.849600979,0.056640625
4302.116434,21,0.863272719,0.057552083
4566.497372,22,0.86717893,0.0578125
4783.010378,23,0.843741662,0.05625
5048.42795,24,0.871085142,0.058072917
5267.6022,25,0.884756881,0.058984375
5542.201582,26,0.912100361,0.060807292
5766.586875,27,0.88085067,0.058723958
5874.718258,28,0.902334833,0.06015625
6097.206887,29,0.878897564,0.05859375
6371.432331,30,0.878897564,0.05859375
6598.87765,31,0.890616199,0.059375
6878.977984,32,0.855460296,0.05703125
7112.448939,33,0.832023028,0.05546875
7405.038209,34,0.826163711,0.055078125
7649.773256,35,0.832023028,0.05546875
7954.140384,36,0.855460296,0.05703125
8205.172182,37,0.86717893,0.0578125
8504.741702,38,0.896475516,0.059765625
8755.567478,39,0.906241044,0.060416667
9060.181111,40,0.916006573,0.061067708
9317.298342,41,0.916006573,0.061067708
9632.7801,42,0.935537568,0.062369792
9892.197646,43,0.912100361,0.060807292
10014.70173,44,0.906241044,0.060416667
10276.14362,45,0.896475516,0.059765625
10591.52641,46,0.886709987,0.059114583
10857.58129,47,0.878897564,0.05859375
11173.69163,48,0.878897502,0.05859375
11443.04414,49,0.874991353,0.058333333
11764.25384,50,0.869132036,0.057942708
12040.17529,51,0.859366507,0.057291667
12370.57186,52,0.849600979,0.056640625
12453.79157,53,0.832023028,0.05546875
12807.75628,54,0.820304393,0.0546875
13111.31796,55,0.837882345,0.055859375
13468.47411,56,0.85350719,0.056901042
13776.4416,57,0.841788556,0.056119792
14138.9236,58,0.863272719,0.057552083
14448.92415,59,0.861319613,0.057421875
14810.09782,60,0.832023028,0.05546875
15121.48094,61,0.841788556,0.056119792
15485.5429,62,0.828116816,0.055208333
15799.12031,63,0.814445076,0.054296875
16165.88656,64,0.804679548,0.053645833
16484.57624,65,0.792960914,0.052864583
16857.12109,66,0.74022706,0.049348958
16946.48973,67,0.751945694,0.050130208
17322.69003,68,0.742180165,0.049479167
17648.68398,69,0.710930413,0.047395833
18028.91868,70,0.734367743,0.048958333
18355.37271,71,0.718742897,0.047916667
18503.85042,72,0.734367743,0.048958333
18601.89374,73,0.693352461,0.046223958
18986.50173,74,0.693352523,0.046223958
19325.6296,75,0.691399417,0.04609375
19716.28667,76,0.673821466,0.044921875
20062.53654,77,0.67186836,0.044791667
20449.43259,78,0.689446312,0.045963542
20542.34096,79,0.666008975,0.044401042
20923.86962,80,0.648431092,0.043229167
21025.23395,81,0.67186836,0.044791667
21418.00841,82,0.703118051,0.046875
21753.05111,83,0.666008982,0.044401042
21910.1881,84,0.720696003,0.048046875
22252.80451,85,0.654290409,0.043619792
22653.73514,86,0.595697238,0.039713542
22760.93101,87,0.587884815,0.039192708
23167.4538,88,0.591791027,0.039453125
23524.66394,89,0.587884815,0.039192708
23937.93971,90,0.642571775,0.042838542
24300.73864,91,0.646477986,0.043098958
24716.91374,92,0.679680783,0.0453125
24822.07526,93,0.689446312,0.045963542
25245.5097,94,0.660149726,0.044010417
25617.89872,95,0.679680783,0.0453125
26042.39782,96,0.72655532,0.0484375
26417.85025,97,0.765617434,0.051041667
26842.53325,98,0.749992588,0.05
27221.72508,99,0.773429857,0.0515625
27653.45872,100,0.761711222,0.05078125
