Since Beginning Seconds,Epsiode,Mean Cumulative Episodic Reward,Mean Accuracy
268.596549,1,0.437272152,0.029504382
534.617145,2,0.496092944,0.033940505
679.920746,3,0.58010633,0.039928024
844.328839,4,0.572648749,0.038582973
1074.930867,5,0.486688589,0.032840062
1239.274506,6,0.441290366,0.029870366
1431.470187,7,0.518837725,0.035015317
1667.869238,8,0.533627128,0.03642139
1713.104824,9,0.601039838,0.040921663
2001.96564,10,0.606124796,0.041459981
2154.663112,11,0.617053297,0.041832686
2455.659809,12,0.598854172,0.040678672
2697.250134,13,0.615991416,0.041491689
2819.896113,14,0.634683477,0.043192382
3132.923503,15,0.659342653,0.045174826
3186.284475,16,0.58722445,0.03989718
3285.035141,17,0.590219888,0.040517141
3484.763262,18,0.51287664,0.034740149
3732.968638,19,0.510911752,0.035017143
3933.119436,20,0.458844178,0.031171878
4033.68725,21,0.470727237,0.031826501
4085.303763,22,0.487874762,0.033122064
4333.888906,23,0.429663095,0.028967844
4536.214654,24,0.405609468,0.027432307
4660.294784,25,0.352092194,0.023972559
4924.27507,26,0.354603483,0.023840891
5021.393119,27,0.321241998,0.022224137
5292.336032,28,0.336201841,0.022723269
5348.316686,29,0.378889695,0.025705043
5620.270923,30,0.399215054,0.026862809
5678.989587,31,0.401936336,0.027281904
5953.918212,32,0.472733659,0.032413997
6012.800945,33,0.477932167,0.032584837
6262.003466,34,0.510219659,0.034641821
6493.801124,35,0.470860754,0.03204976
6637.406206,36,0.514377449,0.035334749
6872.516446,37,0.484305153,0.033317376
7160.944273,38,0.514922287,0.034976053
7400.710723,39,0.490098401,0.033499923
7696.000806,40,0.49479507,0.0334575
7940.326479,41,0.56671532,0.038067611
8239.235088,42,0.522650749,0.035494536
8592.891658,43,0.574941476,0.039256418
8843.367044,44,0.555720067,0.037351465
8961.357852,45,0.627233643,0.04220326
9216.447876,46,0.714497164,0.048234459
9522.070479,47,0.745035568,0.050012194
9781.734846,48,0.739121018,0.049734158
10088.57546,49,0.831171115,0.056171878
10350.50747,50,0.800751697,0.054287368
10666.34707,51,0.846385508,0.056770262
10941.2487,52,0.851055746,0.057204861
11263.13179,53,0.851810182,0.057195662
11337.26973,54,0.85934227,0.057619102
11461.45445,55,0.841349879,0.056348635
11737.37578,56,0.87864034,0.059045398
12073.04416,57,0.858125408,0.057689632
12356.62634,58,0.844277889,0.056550309
12486.57537,59,0.838426386,0.056146918
12781.47365,60,0.829111162,0.055916316
13129.15137,61,0.835188837,0.055958946
13428.64216,62,0.834013825,0.056026419
13783.73545,63,0.862561015,0.058035111
14091.04358,64,0.790946477,0.053408462
14452.08154,65,0.792805348,0.053418902
14538.90801,66,0.782808077,0.052799479
14904.1749,67,0.74083666,0.049751778
15218.71366,68,0.761386109,0.051127901
15590.83327,69,0.739008586,0.049836079
15913.72151,70,0.73098988,0.048759247
16291.77235,71,0.749035239,0.050250339
16617.8702,72,0.771600809,0.05163303
16999.26833,73,0.7874567,0.053278741
17331.09464,74,0.819530798,0.054821011
17719.33874,75,0.861782544,0.057725123
18059.2995,76,0.883528896,0.059237751
18450.03062,77,0.916601699,0.061241319
18794.84247,78,0.944735066,0.063250248
19190.69053,79,0.939103642,0.062730758
19538.65892,80,0.973182667,0.06501787
19938.36447,81,0.985255734,0.066115631
20291.31786,82,0.989022458,0.066155275
20693.69,83,0.99364145,0.066610818
21050.33005,84,0.998904828,0.067160429
21461.95092,85,0.9968346,0.06680613
21824.50279,86,1.005278226,0.067265921
22238.75646,87,0.998647257,0.06681258
22603.773,88,1.00241186,0.066966611
23028.57116,89,1.003448015,0.067262939
23400.93382,90,1.003468612,0.067359015
23825.35506,91,1.001808747,0.06734675
24202.33305,92,0.999581528,0.067003038
24634.95017,93,1.000513857,0.066952614
25021.16883,94,1.00050445,0.067323134
25458.22101,95,1.002988426,0.067512404
25846.11316,96,1.00216689,0.067442927
26289.2459,97,1.003488456,0.067388263
26683.89845,98,1.00261191,0.067209373
27132.53055,99,1.001529623,0.067484734
27531.09728,100,1.005180433,0.067600189
