Since Beginning Seconds,Epsiode,Mean Cumulative Episodic Reward,Mean Accuracy
82.754948,1,0.810538865,0.054036458
158.372686,2,0.812491971,0.054166667
234.920051,3,0.787101597,0.052473958
312.190605,4,0.841788556,0.056119792
389.988407,5,0.783195385,0.052213542
467.667122,6,0.820304393,0.0546875
543.946907,7,0.794914019,0.052994792
621.313589,8,0.785148491,0.05234375
700.172748,9,0.816398182,0.054427083
781.439492,10,0.837882345,0.055859375
863.878525,11,0.832023028,0.05546875
947.109722,12,0.802726442,0.053515625
1031.751655,13,0.796867125,0.053125
1117.980502,14,0.822257499,0.054817708
1206.207851,15,0.816398182,0.054427083
1296.60154,16,0.814445076,0.054296875
1389.272076,17,0.859366507,0.057291667
1484.334278,18,0.833976133,0.055598958
1581.514355,19,0.822257499,0.054817708
1680.964971,20,0.806632592,0.053776042
1783.37393,21,0.787101597,0.052473958
1887.772922,22,0.812491971,0.054166667
1995.701344,23,0.796867125,0.053125
2104.811163,24,0.779289174,0.051953125
2216.54783,25,0.798820231,0.053255208
2331.063759,26,0.783195385,0.052213542
2447.691574,27,0.802726442,0.053515625
2565.449751,28,0.789054702,0.052604167
2606.506239,29,0.798820231,0.053255208
2728.173788,30,0.814445076,0.054296875
2852.74899,31,0.81444501,0.054296875
2980.708526,32,0.816398182,0.054427083
3110.296081,33,0.800773336,0.053385417
3235.462793,34,0.792960914,0.052864583
3369.475805,35,0.818351288,0.054557292
3505.828227,36,0.796867125,0.053125
3646.46747,37,0.812491971,0.054166667
3793.144617,38,0.822257499,0.054817708
3849.346216,39,0.822257499,0.054817708
3993.912409,40,0.792960914,0.052864583
4141.171786,41,0.771476751,0.051432292
4292.12446,42,0.824210605,0.054947917
4443.965654,43,0.798820231,0.053255208
4598.070649,44,0.830069922,0.055338542
4753.325683,45,0.822257499,0.054817708
4912.518643,46,0.812491971,0.054166667
5078.802599,47,0.808585759,0.05390625
5246.852868,48,0.841788556,0.056119792
5419.381875,49,0.822257499,0.054817708
5598.109006,50,0.833976133,0.055598958
5776.457611,51,0.8085857,0.05390625
5961.209088,52,0.814445076,0.054296875
6035.35064,53,0.791007808,0.052734375
6234.262294,54,0.810538865,0.054036458
6435.973075,55,0.779289174,0.051953125
6632.137459,56,0.835929239,0.055729167
6829.937204,57,0.83983545,0.055989583
7030.610311,58,0.794913894,0.052994792
7234.413992,59,0.841788556,0.056119792
7438.888878,60,0.814445076,0.054296875
7646.452785,61,0.792960914,0.052864583
7855.527763,62,0.800773336,0.053385417
8069.331287,63,0.83983545,0.055989583
8283.654038,64,0.826163649,0.055078125
8356.187437,65,0.833976133,0.055598958
8575.435331,66,0.802726442,0.053515625
8795.360221,67,0.804679548,0.053645833
9017.948201,68,0.810538865,0.054036458
9245.227935,69,0.818351288,0.054557292
9473.816343,70,0.832023028,0.05546875
9698.427184,71,0.841788556,0.056119792
9931.154793,72,0.824210605,0.054947917
10166.47135,73,0.826163711,0.055078125
10252.92552,74,0.822257436,0.054817708
10491.83315,75,0.792960914,0.052864583
10735.166,76,0.85350719,0.056901042
10978.60133,77,0.804679548,0.053645833
11225.52455,78,0.798820231,0.053255208
11475.16569,79,0.822257499,0.054817708
11728.13172,80,0.800773336,0.053385417
11981.85448,81,0.814445076,0.054296875
12238.63856,82,0.832023028,0.05546875
12498.00336,83,0.822257499,0.054817708
12758.57538,84,0.792960914,0.052864583
13022.0009,85,0.808585759,0.05390625
13288.26022,86,0.787101597,0.052473958
13565.07259,87,0.816398182,0.054427083
13847.63404,88,0.812491971,0.054166667
14134.08565,89,0.822257499,0.054817708
14419.6422,90,0.796867125,0.053125
14705.872,91,0.826163711,0.055078125
14997.19791,92,0.804679548,0.053645833
15291.56013,93,0.837882284,0.055859375
15586.38044,94,0.810538803,0.054036458
15881.77058,95,0.810538865,0.054036458
16190.95496,96,0.816398122,0.054427083
16501.0459,97,0.779289174,0.051953125
16806.04578,98,0.804679548,0.053645833
17114.15544,99,0.843741662,0.05625
17423.04924,100,0.828116816,0.055208333
