Since Beginning Seconds,Epsiode,Mean Cumulative Episodic Reward,Mean Accuracy
136.184682,1,0.534043214,0.035947734
231.526827,2,0.607102277,0.041670932
350.571491,3,0.597218684,0.040959734
414.849684,4,0.574088644,0.039413414
511.784802,5,0.603700698,0.041017404
611.497019,6,0.555247022,0.03740746
708.528524,7,0.562850429,0.03811818
812.071514,8,0.562254688,0.038192142
910.604507,9,0.550981848,0.03774446
989.226407,10,0.574540946,0.039005606
1087.605206,11,0.589969077,0.04029103
1182.740992,12,0.582033229,0.039446843
1238.821868,13,0.576074138,0.039057847
1329.619253,14,0.561535073,0.038490979
1431.063391,15,0.592562878,0.040076801
1527.479284,16,0.571461208,0.038857635
1630.771282,17,0.591368787,0.040145519
1738.669048,18,0.565599254,0.039071811
1782.468247,19,0.567950323,0.038199498
1886.429193,20,0.582200885,0.039713496
1943.352326,21,0.539096817,0.036804509
2081.21508,22,0.594799179,0.040432813
2167.827353,23,0.585400177,0.040001404
2267.705326,24,0.597830441,0.040619013
2389.256918,25,0.601955959,0.040865115
2454.264077,26,0.610888754,0.041437161
2553.151069,27,0.580226175,0.039995933
2679.073347,28,0.575870695,0.039728247
2807.929701,29,0.557722596,0.037840201
2903.340065,30,0.55700679,0.038208357
3034.328037,31,0.615605582,0.041986772
3079.480353,32,0.619512868,0.042506944
3187.811085,33,0.628438108,0.042823199
3325.171289,34,0.590420119,0.040213754
3460.338284,35,0.573444377,0.039695853
3508.043169,36,0.572863473,0.03921349
3611.835513,37,0.548804397,0.037748713
3756.195848,38,0.579198594,0.039811381
3901.868449,39,0.582261549,0.040054261
4040.519818,40,0.56148845,0.038108393
4190.341909,41,0.593793324,0.040412567
4281.063181,42,0.588871745,0.040147023
4392.30957,43,0.61705458,0.04218986
4498.322132,44,0.58879043,0.039796892
4656.368628,45,0.557549844,0.038177506
4815.90327,46,0.549524533,0.036836566
4977.118366,47,0.594908601,0.040484763
5154.418965,48,0.577245554,0.039513896
5320.745129,49,0.59148718,0.040136729
5378.18274,50,0.583047924,0.039665033
5548.458357,51,0.549430253,0.037449076
5721.691742,52,0.571512788,0.038648578
5780.706818,53,0.581852445,0.039791853
5955.253268,54,0.568960878,0.03867965
6015.127784,55,0.56306721,0.038262599
6188.269322,56,0.581145986,0.039037324
6370.572237,57,0.630680387,0.042397229
6557.828134,58,0.592823602,0.040069619
6749.879607,59,0.601242314,0.040772418
6952.569692,60,0.583927102,0.040162264
7157.8405,61,0.585856178,0.04042139
7363.857981,62,0.580451088,0.03908167
7433.231873,63,0.545744755,0.037192726
7641.871611,64,0.599447653,0.041220147
7853.752214,65,0.614458149,0.041600518
7924.310462,66,0.561220354,0.037888766
8138.738797,67,0.595798928,0.040230963
8354.305865,68,0.581532305,0.039732238
8427.458855,69,0.626416997,0.042482847
8646.766648,70,0.579956449,0.039676693
8720.643153,71,0.595539685,0.040039017
8957.427629,72,0.589889345,0.040357997
9194.880011,73,0.603803705,0.040999812
9431.324011,74,0.570289476,0.039260082
9510.541188,75,0.582419157,0.039682431
9753.978072,76,0.60827327,0.041428341
9833.485345,77,0.582665015,0.040161679
10080.84497,78,0.572446472,0.039030791
10328.24373,79,0.599093172,0.040880628
10581.42863,80,0.552352986,0.03751858
10832.53959,81,0.58342837,0.039510272
10918.2794,82,0.587077186,0.039995524
11004.4801,83,0.613244038,0.041341637
11262.82617,84,0.584614441,0.03968647
11521.81749,85,0.568929577,0.038633075
11784.29231,86,0.563029021,0.038270718
12047.09947,87,0.608039442,0.041136224
12132.75281,88,0.588789008,0.040483096
12216.88962,89,0.613778176,0.041652796
12477.10876,90,0.598911755,0.040855327
12561.88583,91,0.594473458,0.040442201
12822.89234,92,0.586883085,0.040574514
12910.03682,93,0.57481051,0.039241318
13174.7241,94,0.622884519,0.042439389
13365.63521,95,0.592959825,0.040448978
13633.59792,96,0.610245974,0.042077352
13903.30504,97,0.565991703,0.03848265
14175.65636,98,0.577005983,0.039279524
14265.59073,99,0.575861963,0.039402883
14471.73151,100,0.576850537,0.03932293
